timestamp,domain,query_type,dnssec,protocol,client_ip,status,reasons,destination_country,root_domain,device_id,device_name,device_model,device_local_ip,matched_name,client_name
2026-06-03T09:31:50.443Z,duckduckgo.com,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,US,duckduckgo.com,,,,,,
2026-06-03T09:31:50.400Z,duckduckgo.com,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,,duckduckgo.com,,,,,,
2026-06-03T09:31:49.768Z,help.duckduckgo.com,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,,duckduckgo.com,,,,,,
2026-06-03T09:31:49.768Z,help.duckduckgo.com,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,US,duckduckgo.com,,,,,,
2026-06-03T09:30:02.333Z,privacyportal.onetrust.com,A,true,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,,onetrust.com,,,,,,
2026-06-03T09:30:02.283Z,privacyportal.onetrust.com,AAAA,true,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,,onetrust.com,,,,,,
2026-06-03T09:29:50.383Z,cloudflare.com,AAAA,true,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,,cloudflare.com,,,,,,
2026-06-03T09:29:50.337Z,cloudflare.com,A,true,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,,cloudflare.com,,,,,,
2026-06-03T09:29:49.672Z,www.googletagmanager.com,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blocklist:nextdns-recommended,blocklist:hagezi-multi-ultimate,blocklist:steven-black,blocklist:notracking",,googletagmanager.com,,,,,,
2026-06-03T09:29:49.627Z,www.googletagmanager.com,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blocklist:nextdns-recommended,blocklist:hagezi-multi-ultimate,blocklist:steven-black,blocklist:notracking",,googletagmanager.com,,,,,,
